Date,Discharge
1980-4-1,11.70
1980-4-2,11.70
1980-4-3,11.40
1980-4-4,12.00
1980-4-5,13.20
1980-4-6,12.60
1980-4-7,11.70
1980-4-8,11.70
1980-4-9,11.70
1980-4-10,11.40
1980-4-11,10.80
1980-4-12,10.80
1980-4-13,11.70
1980-4-14,12.00
1980-4-15,11.10
1980-4-16,9.00
1980-4-17,8.25
1980-4-18,7.50
1980-4-19,7.00
1980-4-20,7.00
1980-4-21,8.00
1980-4-22,9.30
1980-4-23,11.10
1980-4-24,15.00
1980-4-25,17.10
1980-4-26,17.10
1980-4-27,17.40
1980-4-28,17.70
1980-4-29,17.70
1980-4-30,16.80
1980-5-1,14.70
1980-5-2,16.20
1980-5-3,15.60
1980-5-4,15.00
1980-5-5,19.80
1980-5-6,24.50
1980-5-7,21.00
1980-5-8,19.20
1980-5-9,19.80
1980-5-10,22.05
1980-5-11,22.75
1980-5-12,21.00
1980-5-13,19.20
1980-5-14,18.60
1980-5-15,20.40
1980-5-16,19.50
1980-5-17,18.00
1980-5-18,19.20
1980-5-19,22.40
1980-5-20,23.80
1980-5-21,23.45
1980-5-22,33.20
1980-5-23,43.00
1980-5-24,49.00
1980-5-25,44.50
1980-5-26,37.20
1980-5-27,29.20
1980-5-28,27.65
1980-5-29,28.40
1980-5-30,30.00
1980-5-31,32.40
1980-6-1,34.40
1980-6-2,36.80
1980-6-3,44.00
1980-6-4,59.00
1980-6-5,59.50
1980-6-6,59.00
1980-6-7,61.00
1980-6-8,58.00
1980-6-9,58.50
1980-6-10,63.50
1980-6-11,73.00
1980-6-12,81.10
1980-6-13,94.00
1980-6-14,104.20
1980-6-15,112.00
1980-6-16,120.40
1980-6-17,114.40
1980-6-18,119.20
1980-6-19,182.00
1980-6-20,238.60
1980-6-21,289.00
1980-6-22,337.30
1980-6-23,376.70
1980-6-24,420.80
1980-6-25,462.60
1980-6-26,499.00
1980-6-27,522.00
1980-6-28,548.80
1980-6-29,563.80
1980-6-30,571.60
1980-7-1,578.10
1980-7-2,580.70
1980-7-3,567.70
1980-7-4,552.40
1980-7-5,541.00
1980-7-6,541.00
1980-7-7,511.00
1980-7-8,501.00
1980-7-9,493.00
1980-7-10,485.00
1980-7-11,475.00
1980-7-12,459.75
1980-7-13,439.70
1980-7-14,414.50
1980-7-15,393.80
1980-7-16,370.40
1980-7-17,350.90
1980-7-18,333.90
1980-7-19,323.70
1980-7-20,310.95
1980-7-21,297.00
1980-7-22,290.60
1980-7-23,288.20
1980-7-24,288.20
1980-7-25,288.20
1980-7-26,287.40
1980-7-27,290.60
1980-7-28,304.20
1980-7-29,324.55
1980-7-30,352.60
1980-7-31,379.40
1980-8-1,397.40
1980-8-2,411.80
1980-8-3,420.80
1980-8-4,419.00
1980-8-5,414.50
1980-8-6,401.90
1980-8-7,399.20
1980-8-8,399.20
1980-8-9,401.00
1980-8-10,406.40
1980-8-11,416.30
1980-8-12,418.10
1980-8-13,415.40
1980-8-14,403.70
1980-8-15,387.50
1980-8-16,356.00
1980-8-17,326.25
1980-8-18,293.00
1980-8-19,263.40
1980-8-20,253.80
1980-8-21,262.60
1980-8-22,273.00
1980-8-23,281.00
1980-8-24,291.40
1980-8-25,311.80
1980-8-26,318.60
1980-8-27,300.20
1980-8-28,265.00
1980-8-29,235.40
1980-8-30,213.50
1980-8-31,207.20
1980-9-1,202.30
1980-9-2,210.00
1980-9-3,241.80
1980-9-4,270.60
1980-9-5,297.80
1980-9-6,338.15
1980-9-7,400.10
1980-9-8,459.75
1980-9-9,521.00
1980-9-10,557.30
1980-9-11,579.40
1980-9-12,613.60
1980-9-13,629.60
1980-9-14,645.80
1980-9-15,649.40
1980-9-16,654.80
1980-9-17,666.00
1980-9-18,694.00
1980-9-19,732.80
1980-9-20,765.20
1980-9-21,796.00
1980-9-22,824.60
1980-9-23,845.40
1980-9-24,859.20
1980-9-25,876.00
1980-9-26,881.60
1980-9-27,895.60
1980-9-28,906.80
1980-9-29,959.00
1980-9-30,956.00
1980-10-1,962.00
1980-10-2,980.00
1980-10-3,1001.60
1980-10-4,1027.20
1980-10-5,1056.00
1980-10-6,1084.80
1980-10-7,1113.60
1980-10-8,1126.40
1980-10-9,1136.00
1980-10-10,1177.60
1980-10-11,1222.40
1980-10-12,1244.80
1980-10-13,1238.40
1980-10-14,1222.40
1980-10-15,1203.20
1980-10-16,1196.80
1980-10-17,1193.60
1980-10-18,1193.60
1980-10-19,1187.20
1980-10-20,1164.80
1980-10-21,1139.20
1980-10-22,1110.40
1980-10-23,1084.80
1980-10-24,1046.40
1980-10-25,1014.40
1980-10-26,971.00
1980-10-27,944.00
1980-10-28,915.20
1980-10-29,878.80
1980-10-30,835.00
1980-10-31,801.20
1980-11-1,750.80
1980-11-2,719.60
1980-11-3,678.00
1980-11-4,632.80
1980-11-5,602.40
1980-11-6,542.00
1980-11-7,490.00
